from_state_id,to_state_id,transitions,traces,conditional_probability
rsrp=-91|rsrq=-13|snr=0,rsrp=-91|rsrq=-14|snr=-1,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=0,rsrp=-92|rsrq=-14|snr=-6,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=0,rsrp=-92|rsrq=-16|snr=-5,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=1,rsrp=-91|rsrq=-12|snr=1,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=1,rsrp=-91|rsrq=-14|snr=-5,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=1,rsrp=-92|rsrq=-15|snr=-2,1,1,0.166666666667
rsrp=-91|rsrq=-13|snr=3,rsrp=-91|rsrq=-13|snr=3,1,1,0.5
rsrp=-91|rsrq=-13|snr=3,rsrp=-93|rsrq=-13|snr=2,1,1,0.5
rsrp=-91|rsrq=-13|snr=6,rsrp=-91|rsrq=-13|snr=6,1,1,0.5
rsrp=-91|rsrq=-13|snr=6,rsrp=-91|rsrq=-15|snr=6,1,1,0.5
rsrp=-91|rsrq=-14|snr=-1,rsrp=-89|rsrq=-16|snr=-5,1,1,0.125
rsrp=-91|rsrq=-14|snr=-1,rsrp=-92|rsrq=-15|snr=2,1,1,0.125
rsrp=-91|rsrq=-14|snr=-1,rsrp=-93|rsrq=-16|snr=-3,1,1,0.125
rsrp=-91|rsrq=-14|snr=-1,rsrp=-95|rsrq=-16|snr=-3,1,1,0.125
rsrp=-91|rsrq=-14|snr=-3,rsrp=-94|rsrq=-14|snr=1,1,1,1
rsrp=-91|rsrq=-14|snr=-5,rsrp=-90|rsrq=-12|snr=0,1,1,0.25
rsrp=-91|rsrq=-14|snr=-5,rsrp=-92|rsrq=-11|snr=0,1,1,0.25
rsrp=-91|rsrq=-14|snr=-6,rsrp=-89|rsrq=-16|snr=2,1,1,0.5
rsrp=-91|rsrq=-14|snr=-6,rsrp=-91|rsrq=-14|snr=-6,1,1,0.5
rsrp=-91|rsrq=-14|snr=-9,rsrp=-91|rsrq=-14|snr=-9,1,1,0.5
rsrp=-91|rsrq=-14|snr=-9,rsrp=-93|rsrq=-16|snr=-4,1,1,0.5
rsrp=-91|rsrq=-14|snr=0,rsrp=-91|rsrq=-14|snr=0,1,1,0.5
rsrp=-91|rsrq=-14|snr=0,rsrp=-92|rsrq=-16|snr=1,1,1,0.5
rsrp=-91|rsrq=-14|snr=1,rsrp=-90|rsrq=-16|snr=-5,1,1,0.5
rsrp=-91|rsrq=-14|snr=1,rsrp=-91|rsrq=-14|snr=1,1,1,0.5
rsrp=-91|rsrq=-14|snr=5,rsrp=-91|rsrq=-10|snr=2,1,1,0.5
rsrp=-91|rsrq=-14|snr=5,rsrp=-91|rsrq=-14|snr=5,1,1,0.5
rsrp=-91|rsrq=-15|snr=-9,rsrp=-91|rsrq=-15|snr=-9,1,1,0.5
rsrp=-91|rsrq=-15|snr=-9,rsrp=-92|rsrq=-14|snr=-3,1,1,0.5
rsrp=-91|rsrq=-15|snr=0,rsrp=-91|rsrq=-13|snr=1,1,1,1
rsrp=-91|rsrq=-15|snr=3,rsrp=-91|rsrq=-15|snr=3,1,1,0.5
rsrp=-91|rsrq=-15|snr=3,rsrp=-91|rsrq=-16|snr=-12,1,1,0.5
rsrp=-91|rsrq=-15|snr=5,rsrp=-91|rsrq=-15|snr=5,1,1,0.5
rsrp=-91|rsrq=-15|snr=5,rsrp=-91|rsrq=-16|snr=0,1,1,0.5
rsrp=-91|rsrq=-15|snr=6,rsrp=-91|rsrq=-15|snr=6,1,1,0.5
rsrp=-91|rsrq=-15|snr=6,rsrp=-91|rsrq=-16|snr=-7,1,1,0.5
rsrp=-91|rsrq=-16|snr=-10,rsrp=-91|rsrq=-16|snr=-10,1,1,0.5
rsrp=-91|rsrq=-16|snr=-10,rsrp=-91|rsrq=-17|snr=-13,1,1,0.5
rsrp=-91|rsrq=-16|snr=-12,rsrp=-90|rsrq=-17|snr=-1,1,1,0.333333333333
rsrp=-91|rsrq=-16|snr=-7,rsrp=-91|rsrq=-16|snr=-7,1,1,0.5
rsrp=-91|rsrq=-16|snr=-7,rsrp=-93|rsrq=-14|snr=0,1,1,0.5
rsrp=-91|rsrq=-16|snr=0,rsrp=-91|rsrq=-16|snr=0,1,1,0.5
rsrp=-91|rsrq=-16|snr=0,rsrp=-92|rsrq=-12|snr=-11,1,1,0.5
rsrp=-91|rsrq=-16|snr=1,rsrp=-91|rsrq=-16|snr=1,1,1,0.5
rsrp=-91|rsrq=-16|snr=1,rsrp=-95|rsrq=-13|snr=1,1,1,0.5
rsrp=-91|rsrq=-17|snr=-13,rsrp=-91|rsrq=-17|snr=-13,1,1,1
rsrp=-91|rsrq=-18|snr=-12,rsrp=-91|rsrq=-18|snr=-12,1,1,0.5
rsrp=-91|rsrq=-18|snr=-12,rsrp=-93|rsrq=-14|snr=-1,1,1,0.5
rsrp=-92|rsrq=-11|snr=0,rsrp=-92|rsrq=-11|snr=0,1,1,1
rsrp=-92|rsrq=-11|snr=2,rsrp=-92|rsrq=-11|snr=2,1,1,0.5
rsrp=-92|rsrq=-11|snr=2,rsrp=-93|rsrq=-11|snr=2,1,1,0.5
rsrp=-92|rsrq=-11|snr=4,rsrp=-92|rsrq=-11|snr=4,1,1,0.5
rsrp=-92|rsrq=-11|snr=4,rsrp=-94|rsrq=-13|snr=1,1,1,0.5
rsrp=-92|rsrq=-12|snr=-1,rsrp=-92|rsrq=-12|snr=-1,1,1,0.5
rsrp=-92|rsrq=-12|snr=-1,rsrp=-93|rsrq=-12|snr=-10,1,1,0.5
rsrp=-92|rsrq=-12|snr=-11,rsrp=-91|rsrq=-10|snr=-1,1,1,0.5
rsrp=-92|rsrq=-12|snr=-11,rsrp=-92|rsrq=-12|snr=-11,1,1,0.5
rsrp=-92|rsrq=-12|snr=-2,rsrp=-90|rsrq=-11|snr=-7,1,1,0.5
rsrp=-92|rsrq=-12|snr=-2,rsrp=-92|rsrq=-12|snr=-2,1,1,0.5
rsrp=-92|rsrq=-12|snr=-4,rsrp=-91|rsrq=-13|snr=0,1,1,0.5
rsrp=-92|rsrq=-12|snr=-4,rsrp=-92|rsrq=-12|snr=-4,1,1,0.5
rsrp=-92|rsrq=-12|snr=-9,rsrp=-89|rsrq=-11|snr=6,1,1,0.5
rsrp=-92|rsrq=-12|snr=-9,rsrp=-92|rsrq=-12|snr=-9,1,1,0.5
rsrp=-92|rsrq=-12|snr=0,rsrp=-90|rsrq=-15|snr=-3,1,1,0.5
rsrp=-92|rsrq=-12|snr=0,rsrp=-92|rsrq=-12|snr=0,1,1,0.5
rsrp=-92|rsrq=-12|snr=1,rsrp=-92|rsrq=-12|snr=-2,1,1,0.25
rsrp=-92|rsrq=-12|snr=1,rsrp=-93|rsrq=-15|snr=1,1,1,0.25
rsrp=-92|rsrq=-12|snr=2,rsrp=-92|rsrq=-12|snr=2,1,1,0.5
rsrp=-92|rsrq=-12|snr=2,rsrp=-92|rsrq=-13|snr=4,1,1,0.5
rsrp=-92|rsrq=-12|snr=3,rsrp=-90|rsrq=-11|snr=3,1,1,0.25
rsrp=-92|rsrq=-12|snr=3,rsrp=-93|rsrq=-14|snr=0,1,1,0.25
rsrp=-92|rsrq=-13|snr=-1,rsrp=-90|rsrq=-15|snr=4,1,1,1
rsrp=-92|rsrq=-13|snr=-2,rsrp=-92|rsrq=-13|snr=-2,1,1,0.5
rsrp=-92|rsrq=-13|snr=-2,rsrp=-94|rsrq=-13|snr=-3,1,1,0.5
rsrp=-92|rsrq=-13|snr=-5,rsrp=-92|rsrq=-13|snr=-5,1,1,0.5
rsrp=-92|rsrq=-13|snr=-5,rsrp=-92|rsrq=-18|snr=4,1,1,0.5
rsrp=-92|rsrq=-13|snr=0,rsrp=-92|rsrq=-14|snr=1,1,1,0.333333333333
rsrp=-92|rsrq=-13|snr=1,rsrp=-90|rsrq=-13|snr=-2,1,1,0.166666666667
rsrp=-92|rsrq=-13|snr=1,rsrp=-91|rsrq=-13|snr=-10,1,1,0.166666666667
rsrp=-92|rsrq=-13|snr=1,rsrp=-92|rsrq=-15|snr=1,1,1,0.166666666667
rsrp=-92|rsrq=-13|snr=2,rsrp=-91|rsrq=-12|snr=6,1,1,0.1
rsrp=-92|rsrq=-13|snr=2,rsrp=-91|rsrq=-15|snr=0,1,1,0.1
rsrp=-92|rsrq=-13|snr=2,rsrp=-92|rsrq=-13|snr=1,1,1,0.1
rsrp=-92|rsrq=-13|snr=2,rsrp=-92|rsrq=-13|snr=3,1,1,0.1
rsrp=-92|rsrq=-13|snr=2,rsrp=-92|rsrq=-16|snr=-11,1,1,0.1
rsrp=-92|rsrq=-13|snr=3,rsrp=-92|rsrq=-13|snr=-2,1,1,1
rsrp=-92|rsrq=-13|snr=4,rsrp=-91|rsrq=-13|snr=-5,1,1,0.5
rsrp=-92|rsrq=-13|snr=4,rsrp=-92|rsrq=-13|snr=4,1,1,0.5
rsrp=-92|rsrq=-14|snr=-1,rsrp=-92|rsrq=-15|snr=-11,1,1,0.25
rsrp=-92|rsrq=-14|snr=-1,rsrp=-93|rsrq=-15|snr=0,1,1,0.25
rsrp=-92|rsrq=-14|snr=-2,rsrp=-92|rsrq=-14|snr=-2,1,1,0.5
rsrp=-92|rsrq=-14|snr=-2,rsrp=-93|rsrq=-13|snr=-2,1,1,0.5
rsrp=-92|rsrq=-14|snr=-3,rsrp=-93|rsrq=-14|snr=0,1,1,1
rsrp=-92|rsrq=-14|snr=-5,rsrp=-92|rsrq=-14|snr=-5,1,1,0.5
rsrp=-92|rsrq=-14|snr=-5,rsrp=-93|rsrq=-16|snr=0,1,1,0.5
rsrp=-92|rsrq=-14|snr=-6,rsrp=-91|rsrq=-14|snr=-3,1,1,0.2
rsrp=-92|rsrq=-14|snr=-6,rsrp=-92|rsrq=-13|snr=0,1,1,0.2
rsrp=-92|rsrq=-14|snr=0,rsrp=-91|rsrq=-15|snr=-9,1,1,0.5
rsrp=-92|rsrq=-14|snr=0,rsrp=-92|rsrq=-14|snr=0,1,1,0.5
rsrp=-92|rsrq=-14|snr=1,rsrp=-93|rsrq=-13|snr=-3,1,1,1
rsrp=-92|rsrq=-14|snr=3,rsrp=-92|rsrq=-14|snr=3,1,1,0.5
rsrp=-92|rsrq=-14|snr=3,rsrp=-93|rsrq=-15|snr=-9,1,1,0.5
rsrp=-92|rsrq=-15|snr=-1,rsrp=-92|rsrq=-14|snr=-6,1,1,0.5
rsrp=-92|rsrq=-15|snr=-1,rsrp=-92|rsrq=-15|snr=-1,1,1,0.5
rsrp=-92|rsrq=-15|snr=-11,rsrp=-92|rsrq=-13|snr=2,1,1,0.5
rsrp=-92|rsrq=-15|snr=-11,rsrp=-92|rsrq=-15|snr=-11,1,1,0.5
rsrp=-92|rsrq=-15|snr=-2,rsrp=-92|rsrq=-12|snr=2,1,1,0.5
rsrp=-92|rsrq=-15|snr=-2,rsrp=-92|rsrq=-15|snr=-2,1,1,0.5
rsrp=-92|rsrq=-15|snr=-4,rsrp=-90|rsrq=-13|snr=1,1,1,0.25
rsrp=-92|rsrq=-15|snr=-4,rsrp=-90|rsrq=-14|snr=-8,1,1,0.25
rsrp=-92|rsrq=-15|snr=1,rsrp=-91|rsrq=-12|snr=-2,1,1,1
rsrp=-92|rsrq=-15|snr=2,rsrp=-91|rsrq=-14|snr=-1,1,1,0.5
rsrp=-92|rsrq=-15|snr=2,rsrp=-92|rsrq=-15|snr=2,1,1,0.5
rsrp=-92|rsrq=-16|snr=-1,rsrp=-92|rsrq=-16|snr=-1,1,1,0.5
rsrp=-92|rsrq=-16|snr=-1,rsrp=-93|rsrq=-16|snr=-3,1,1,0.5
rsrp=-92|rsrq=-16|snr=-11,rsrp=-92|rsrq=-16|snr=-11,1,1,1
rsrp=-92|rsrq=-16|snr=-3,rsrp=-91|rsrq=-16|snr=-12,1,1,0.5
rsrp=-92|rsrq=-16|snr=-3,rsrp=-92|rsrq=-16|snr=-3,1,1,0.5
rsrp=-92|rsrq=-16|snr=-4,rsrp=-92|rsrq=-16|snr=-3,1,1,0.5
rsrp=-92|rsrq=-16|snr=-4,rsrp=-92|rsrq=-16|snr=-4,1,1,0.5
rsrp=-92|rsrq=-16|snr=-5,rsrp=-91|rsrq=-14|snr=-5,1,1,0.5
rsrp=-92|rsrq=-16|snr=-5,rsrp=-92|rsrq=-16|snr=-5,1,1,0.5
rsrp=-92|rsrq=-16|snr=-7,rsrp=-91|rsrq=-12|snr=4,1,1,0.5
rsrp=-92|rsrq=-16|snr=-7,rsrp=-92|rsrq=-16|snr=-7,1,1,0.5
rsrp=-92|rsrq=-16|snr=1,rsrp=-92|rsrq=-14|snr=0,1,1,0.5
rsrp=-92|rsrq=-16|snr=1,rsrp=-92|rsrq=-16|snr=1,1,1,0.5
rsrp=-92|rsrq=-17|snr=-10,rsrp=-90|rsrq=-12|snr=0,1,1,0.5
rsrp=-92|rsrq=-17|snr=-10,rsrp=-92|rsrq=-17|snr=-10,1,1,0.5
rsrp=-92|rsrq=-18|snr=-1,rsrp=-91|rsrq=-15|snr=5,1,1,0.5
rsrp=-92|rsrq=-18|snr=-1,rsrp=-92|rsrq=-18|snr=-1,1,1,0.5
rsrp=-92|rsrq=-18|snr=4,rsrp=-92|rsrq=-18|snr=4,1,1,0.5
rsrp=-92|rsrq=-18|snr=4,rsrp=-94|rsrq=-16|snr=-8,1,1,0.5
rsrp=-93|rsrq=-11|snr=2,rsrp=-93|rsrq=-11|snr=2,1,1,0.5
rsrp=-93|rsrq=-11|snr=2,rsrp=-93|rsrq=-16|snr=-3,1,1,0.5
rsrp=-93|rsrq=-12|snr=-1,rsrp=-92|rsrq=-12|snr=1,1,1,0.5
rsrp=-93|rsrq=-12|snr=-1,rsrp=-93|rsrq=-12|snr=-1,1,1,0.5
rsrp=-93|rsrq=-12|snr=-10,rsrp=-93|rsrq=-12|snr=-10,1,1,0.5
rsrp=-93|rsrq=-12|snr=-10,rsrp=-94|rsrq=-13|snr=-7,1,1,0.5
rsrp=-93|rsrq=-12|snr=-2,rsrp=-93|rsrq=-12|snr=-2,1,1,0.5
rsrp=-93|rsrq=-12|snr=-2,rsrp=-93|rsrq=-12|snr=5,1,1,0.5
rsrp=-93|rsrq=-12|snr=-4,rsrp=-92|rsrq=-12|snr=3,1,1,0.5
rsrp=-93|rsrq=-12|snr=-4,rsrp=-93|rsrq=-12|snr=-4,1,1,0.5
rsrp=-93|rsrq=-12|snr=0,rsrp=-93|rsrq=-12|snr=0,1,1,0.5
rsrp=-93|rsrq=-12|snr=0,rsrp=-93|rsrq=-13|snr=0,1,1,0.5
rsrp=-93|rsrq=-12|snr=1,rsrp=-91|rsrq=-13|snr=3,1,1,0.333333333333
rsrp=-93|rsrq=-12|snr=1,rsrp=-92|rsrq=-14|snr=3,1,1,0.333333333333
rsrp=-93|rsrq=-12|snr=1,rsrp=-93|rsrq=-12|snr=1,1,1,0.333333333333
rsrp=-93|rsrq=-12|snr=2,rsrp=-92|rsrq=-13|snr=2,1,1,0.5
rsrp=-93|rsrq=-12|snr=2,rsrp=-93|rsrq=-12|snr=2,1,1,0.5
rsrp=-93|rsrq=-12|snr=5,rsrp=-93|rsrq=-12|snr=5,1,1,1
rsrp=-93|rsrq=-13|snr=-1,rsrp=-93|rsrq=-13|snr=-1,1,1,1
rsrp=-93|rsrq=-13|snr=-2,rsrp=-92|rsrq=-12|snr=3,1,1,0.5
rsrp=-93|rsrq=-13|snr=-2,rsrp=-93|rsrq=-13|snr=-2,1,1,0.5
rsrp=-93|rsrq=-13|snr=-3,rsrp=-93|rsrq=-12|snr=-2,1,1,0.25
rsrp=-93|rsrq=-13|snr=-3,rsrp=-93|rsrq=-12|snr=1,1,1,0.25
rsrp=-93|rsrq=-13|snr=-9,rsrp=-93|rsrq=-13|snr=1,1,1,0.25
rsrp=-93|rsrq=-13|snr=-9,rsrp=-93|rsrq=-14|snr=-9,1,1,0.25
rsrp=-93|rsrq=-13|snr=0,rsrp=-91|rsrq=-13|snr=0,1,1,0.5
rsrp=-93|rsrq=-13|snr=0,rsrp=-93|rsrq=-13|snr=0,1,1,0.5
rsrp=-93|rsrq=-13|snr=1,rsrp=-93|rsrq=-13|snr=1,1,1,0.5
rsrp=-93|rsrq=-13|snr=1,rsrp=-93|rsrq=-13|snr=2,1,1,0.5
rsrp=-93|rsrq=-13|snr=2,rsrp=-91|rsrq=-15|snr=3,1,1,0.25
rsrp=-93|rsrq=-13|snr=2,rsrp=-93|rsrq=-15|snr=-10,1,1,0.25
rsrp=-93|rsrq=-13|snr=3,rsrp=-92|rsrq=-14|snr=-2,1,1,0.25
rsrp=-93|rsrq=-14|snr=-1,rsrp=-93|rsrq=-13|snr=-9,1,1,0.25
rsrp=-93|rsrq=-14|snr=-1,rsrp=-94|rsrq=-13|snr=-2,1,1,0.25
rsrp=-93|rsrq=-14|snr=-3,rsrp=-92|rsrq=-16|snr=-1,1,1,0.5
rsrp=-93|rsrq=-14|snr=-3,rsrp=-93|rsrq=-14|snr=-3,1,1,0.5
rsrp=-93|rsrq=-14|snr=-4,rsrp=-93|rsrq=-14|snr=-4,1,1,0.5
rsrp=-93|rsrq=-14|snr=-4,rsrp=-94|rsrq=-14|snr=-3,1,1,0.5
rsrp=-93|rsrq=-14|snr=-9,rsrp=-91|rsrq=-11|snr=5,1,1,0.25
rsrp=-93|rsrq=-14|snr=-9,rsrp=-94|rsrq=-13|snr=2,1,1,0.25
rsrp=-93|rsrq=-14|snr=0,rsrp=-91|rsrq=-11|snr=4,1,1,0.166666666667
rsrp=-93|rsrq=-14|snr=0,rsrp=-91|rsrq=-16|snr=1,1,1,0.166666666667
rsrp=-93|rsrq=-14|snr=0,rsrp=-93|rsrq=-12|snr=2,1,1,0.166666666667
rsrp=-93|rsrq=-14|snr=1,rsrp=-90|rsrq=-12|snr=-1,1,1,0.5
rsrp=-93|rsrq=-14|snr=1,rsrp=-93|rsrq=-14|snr=1,1,1,0.5
rsrp=-93|rsrq=-15|snr=-1,rsrp=-93|rsrq=-15|snr=-1,1,1,1
rsrp=-93|rsrq=-15|snr=-10,rsrp=-93|rsrq=-13|snr=3,1,1,1
rsrp=-93|rsrq=-15|snr=-8,rsrp=-93|rsrq=-13|snr=-1,1,1,0.5
rsrp=-93|rsrq=-15|snr=-8,rsrp=-93|rsrq=-15|snr=-8,1,1,0.5
rsrp=-93|rsrq=-15|snr=-9,rsrp=-92|rsrq=-13|snr=-5,1,1,0.5
rsrp=-93|rsrq=-15|snr=-9,rsrp=-93|rsrq=-15|snr=-9,1,1,0.5
rsrp=-93|rsrq=-15|snr=0,rsrp=-92|rsrq=-13|snr=2,1,1,0.5
rsrp=-93|rsrq=-15|snr=0,rsrp=-93|rsrq=-15|snr=0,1,1,0.5
rsrp=-93|rsrq=-15|snr=1,rsrp=-92|rsrq=-13|snr=1,1,1,0.5
rsrp=-93|rsrq=-15|snr=1,rsrp=-93|rsrq=-15|snr=1,1,1,0.5
rsrp=-93|rsrq=-15|snr=3,rsrp=-93|rsrq=-15|snr=3,1,1,0.5
rsrp=-93|rsrq=-15|snr=3,rsrp=-93|rsrq=-16|snr=-5,1,1,0.5
rsrp=-93|rsrq=-16|snr=-1,rsrp=-93|rsrq=-16|snr=-1,1,1,0.5
rsrp=-93|rsrq=-16|snr=-1,rsrp=-95|rsrq=-15|snr=-2,1,1,0.5
rsrp=-93|rsrq=-16|snr=-2,rsrp=-91|rsrq=-11|snr=-1,1,1,0.5
rsrp=-93|rsrq=-16|snr=-2,rsrp=-93|rsrq=-16|snr=-2,1,1,0.5
rsrp=-93|rsrq=-16|snr=-3,rsrp=-93|rsrq=-14|snr=1,1,1,0.2
rsrp=-93|rsrq=-16|snr=-3,rsrp=-93|rsrq=-15|snr=3,1,1,0.2
rsrp=-93|rsrq=-16|snr=-4,rsrp=-92|rsrq=-14|snr=-6,1,1,0.5
rsrp=-93|rsrq=-16|snr=-4,rsrp=-93|rsrq=-16|snr=-4,1,1,0.5
rsrp=-93|rsrq=-16|snr=-5,rsrp=-92|rsrq=-12|snr=-9,1,1,0.5
rsrp=-93|rsrq=-16|snr=-5,rsrp=-93|rsrq=-16|snr=-5,1,1,0.5
rsrp=-93|rsrq=-16|snr=0,rsrp=-91|rsrq=-16|snr=-10,1,1,0.5
rsrp=-93|rsrq=-16|snr=0,rsrp=-93|rsrq=-16|snr=0,1,1,0.5
rsrp=-93|rsrq=-16|snr=1,rsrp=-93|rsrq=-16|snr=1,1,1,0.5
rsrp=-93|rsrq=-16|snr=1,rsrp=-95|rsrq=-15|snr=-5,1,1,0.5
rsrp=-93|rsrq=-17|snr=-1,rsrp=-92|rsrq=-15|snr=-4,1,1,0.5
rsrp=-93|rsrq=-17|snr=-1,rsrp=-93|rsrq=-17|snr=-1,1,1,0.5
rsrp=-93|rsrq=-17|snr=-10,rsrp=-93|rsrq=-16|snr=-2,1,1,0.5
rsrp=-93|rsrq=-17|snr=-10,rsrp=-93|rsrq=-17|snr=-10,1,1,0.5
rsrp=-93|rsrq=-17|snr=3,rsrp=-93|rsrq=-17|snr=3,1,1,0.5
rsrp=-93|rsrq=-17|snr=3,rsrp=-94|rsrq=-19|snr=-10,1,1,0.5
rsrp=-94|rsrq=-10|snr=10,rsrp=-94|rsrq=-10|snr=10,1,1,0.5
rsrp=-94|rsrq=-10|snr=10,rsrp=-94|rsrq=-9|snr=6,1,1,0.5
rsrp=-94|rsrq=-11|snr=-1,rsrp=-93|rsrq=-15|snr=-8,1,1,0.5
rsrp=-94|rsrq=-11|snr=-1,rsrp=-94|rsrq=-11|snr=-1,1,1,0.5
rsrp=-94|rsrq=-11|snr=7,rsrp=-94|rsrq=-11|snr=7,1,1,0.5
rsrp=-94|rsrq=-11|snr=7,rsrp=-94|rsrq=-16|snr=1,1,1,0.5
rsrp=-94|rsrq=-12|snr=-2,rsrp=-94|rsrq=-11|snr=-1,1,1,0.5
rsrp=-94|rsrq=-12|snr=-2,rsrp=-94|rsrq=-12|snr=-2,1,1,0.5
rsrp=-94|rsrq=-12|snr=1,rsrp=-93|rsrq=-12|snr=1,1,1,0.5
rsrp=-94|rsrq=-12|snr=1,rsrp=-94|rsrq=-12|snr=1,1,1,0.5
rsrp=-94|rsrq=-13|snr=-2,rsrp=-94|rsrq=-15|snr=-2,1,1,1
rsrp=-94|rsrq=-13|snr=-3,rsrp=-92|rsrq=-15|snr=-4,1,1,0.25
rsrp=-94|rsrq=-13|snr=-3,rsrp=-94|rsrq=-14|snr=-1,1,1,0.25
rsrp=-94|rsrq=-13|snr=-7,rsrp=-93|rsrq=-16|snr=1,1,1,0.5
rsrp=-94|rsrq=-13|snr=-7,rsrp=-94|rsrq=-13|snr=-7,1,1,0.5
rsrp=-94|rsrq=-13|snr=1,rsrp=-92|rsrq=-18|snr=-1,1,1,0.5
rsrp=-94|rsrq=-13|snr=1,rsrp=-94|rsrq=-13|snr=1,1,1,0.5
rsrp=-94|rsrq=-13|snr=2,rsrp=-92|rsrq=-12|snr=-1,1,1,0.5
rsrp=-94|rsrq=-13|snr=2,rsrp=-94|rsrq=-13|snr=2,1,1,0.5
rsrp=-94|rsrq=-14|snr=-1,rsrp=-93|rsrq=-13|snr=-3,1,1,0.5
rsrp=-94|rsrq=-14|snr=-1,rsrp=-94|rsrq=-14|snr=-1,1,1,0.5
rsrp=-94|rsrq=-14|snr=-3,rsrp=-94|rsrq=-14|snr=-3,1,1,0.5
rsrp=-94|rsrq=-14|snr=-3,rsrp=-94|rsrq=-17|snr=0,1,1,0.5
rsrp=-94|rsrq=-14|snr=1,rsrp=-94|rsrq=-13|snr=-3,1,1,0.5
rsrp=-94|rsrq=-14|snr=1,rsrp=-94|rsrq=-14|snr=1,1,1,0.5
rsrp=-94|rsrq=-15|snr=-2,rsrp=-92|rsrq=-17|snr=-10,1,1,0.5
rsrp=-94|rsrq=-15|snr=-2,rsrp=-94|rsrq=-15|snr=-2,1,1,0.5
rsrp=-94|rsrq=-15|snr=1,rsrp=-89|rsrq=-17|snr=-5,1,1,0.5
rsrp=-94|rsrq=-15|snr=1,rsrp=-94|rsrq=-15|snr=1,1,1,0.5
rsrp=-94|rsrq=-15|snr=3,rsrp=-94|rsrq=-15|snr=3,1,1,0.5
rsrp=-94|rsrq=-15|snr=3,rsrp=-95|rsrq=-16|snr=9,1,1,0.5
rsrp=-94|rsrq=-15|snr=5,rsrp=-94|rsrq=-15|snr=5,1,1,1
rsrp=-94|rsrq=-16|snr=-2,rsrp=-93|rsrq=-16|snr=-1,1,1,0.5
rsrp=-94|rsrq=-16|snr=-2,rsrp=-94|rsrq=-16|snr=-2,1,1,0.5
rsrp=-94|rsrq=-16|snr=-8,rsrp=-94|rsrq=-16|snr=-8,1,1,0.5
rsrp=-94|rsrq=-16|snr=-8,rsrp=-95|rsrq=-16|snr=-3,1,1,0.5
rsrp=-94|rsrq=-16|snr=1,rsrp=-94|rsrq=-16|snr=1,1,1,0.5
rsrp=-94|rsrq=-16|snr=1,rsrp=-94|rsrq=-17|snr=3,1,1,0.5
rsrp=-94|rsrq=-16|snr=3,rsrp=-94|rsrq=-16|snr=3,1,1,0.5
rsrp=-94|rsrq=-16|snr=3,rsrp=-94|rsrq=-16|snr=4,1,1,0.5
rsrp=-94|rsrq=-16|snr=4,rsrp=-94|rsrq=-16|snr=4,1,1,0.5
rsrp=-94|rsrq=-16|snr=4,rsrp=-98|rsrq=-16|snr=4,1,1,0.5
rsrp=-94|rsrq=-16|snr=6,rsrp=-94|rsrq=-16|snr=6,1,1,1
rsrp=-94|rsrq=-17|snr=0,rsrp=-94|rsrq=-17|snr=0,1,1,1
rsrp=-94|rsrq=-17|snr=3,rsrp=-94|rsrq=-16|snr=3,1,1,0.5
rsrp=-94|rsrq=-17|snr=3,rsrp=-94|rsrq=-17|snr=3,1,1,0.5
rsrp=-94|rsrq=-17|snr=4,rsrp=-95|rsrq=-14|snr=3,1,1,0.333333333333
rsrp=-94|rsrq=-19|snr=-10,rsrp=-94|rsrq=-19|snr=-10,1,1,0.5
rsrp=-94|rsrq=-19|snr=-10,rsrp=-95|rsrq=-14|snr=-3,1,1,0.5
rsrp=-94|rsrq=-9|snr=6,rsrp=-94|rsrq=-9|snr=6,1,1,1
rsrp=-95|rsrq=-11|snr=1,rsrp=-96|rsrq=-14|snr=4,1,1,0.25
rsrp=-95|rsrq=-11|snr=1,rsrp=-97|rsrq=-14|snr=-1,1,1,0.25
rsrp=-95|rsrq=-11|snr=2,rsrp=-95|rsrq=-11|snr=2,1,1,1
rsrp=-95|rsrq=-12|snr=-12,rsrp=-93|rsrq=-14|snr=-4,1,1,0.5
rsrp=-95|rsrq=-12|snr=-12,rsrp=-95|rsrq=-12|snr=-12,1,1,0.5
rsrp=-95|rsrq=-12|snr=8,rsrp=-95|rsrq=-12|snr=8,1,1,1
rsrp=-95|rsrq=-13|snr=1,rsrp=-91|rsrq=-14|snr=-9,1,1,0.5
rsrp=-95|rsrq=-13|snr=1,rsrp=-95|rsrq=-13|snr=1,1,1,0.5
rsrp=-95|rsrq=-13|snr=3,rsrp=-95|rsrq=-13|snr=1,1,1,0.25
rsrp=-95|rsrq=-13|snr=3,rsrp=-96|rsrq=-12|snr=4,1,1,0.25
rsrp=-95|rsrq=-14|snr=-3,rsrp=-94|rsrq=-12|snr=1,1,1,0.5
rsrp=-95|rsrq=-14|snr=-3,rsrp=-95|rsrq=-14|snr=-3,1,1,0.5
rsrp=-95|rsrq=-14|snr=0,rsrp=-95|rsrq=-14|snr=0,1,1,1
rsrp=-95|rsrq=-14|snr=2,rsrp=-95|rsrq=-14|snr=2,1,1,0.5
